latitude,longitude,elevation
52.532157,-117.645199,1397.9
52.532159,-117.645201,1398.0
52.532161,-117.645203,1398.0
52.532164,-117.645205,1398.0
52.532166,-117.645207,1398.0
52.532169,-117.645209,1398.0
52.532171,-117.645211,1398.0
52.532173,-117.645214,1398.0
52.532176,-117.645216,1398.0
52.532178,-117.645218,1398.0
52.53218,-117.64522,1398.0
52.532183,-117.645222,1398.0
52.532186,-117.645238,1398.0
52.532198,-117.645235,1398.0
52.532192,-117.645232,1398.0
52.532192,-117.645231,1398.0
52.532192,-117.645231,1398.0
52.532192,-117.645231,1398.0
52.532192,-117.645231,1398.0
52.532192,-117.645231,1398.0
52.532191,-117.645217,1398.0
52.532201,-117.645229,1398.0
52.532209,-117.64525,1398.0
52.532224,-117.645273,1398.1
52.532232,-117.645286,1398.1
52.532241,-117.6453,1398.1
52.532253,-117.645308,1398.1
52.532254,-117.645329,1398.1
52.532262,-117.645346,1398.1
52.532271,-117.645347,1398.1
52.532285,-117.645346,1398.1
52.532299,-117.645345,1398.2
52.532305,-117.645353,1398.2
52.532326,-117.645368,1397.8
52.532353,-117.645373,1397.8
52.532345,-117.645398,1397.7
52.532332,-117.645405,1397.7
52.532319,-117.645411,1397.7
52.532313,-117.645425,1397.7
52.532311,-117.645429,1397.7
52.532309,-117.645429,1397.7
52.532303,-117.64546,1397.7
52.532294,-117.645485,1397.6
52.532302,-117.645501,1397.6
52.532289,-117.64551,1397.6
52.532276,-117.645513,1397.6
52.532266,-117.645536,1397.6
52.532261,-117.645546,1397.6
52.532249,-117.645562,1397.6
52.532255,-117.645565,1397.6
52.532237,-117.64557,1397.6
52.532238,-117.645579,1397.5
52.53222,-117.645603,1397.5
52.532212,-117.645603,1397.5
52.532202,-117.645615,1397.5
52.532182,-117.645631,1397.5
52.532156,-117.645619,1397.4
52.532143,-117.645601,1397.4
52.532132,-117.64559,1397.4
52.532122,-117.64558,1397.4
52.532129,-117.64557,1397.3
52.532119,-117.645572,1397.3
52.532116,-117.64557,1397.3
52.532107,-117.645536,1397.3
52.532087,-117.645513,1397.2
52.532091,-117.645503,1397.2
52.532088,-117.645493,1397.1
52.532067,-117.645484,1397.1
52.53206,-117.645477,1397.0
52.532053,-117.645471,1397.0
52.532042,-117.645458,1396.9
52.532035,-117.645452,1396.9
52.532027,-117.645447,1396.9
52.53202,-117.645441,1396.8
52.53202,-117.645431,1396.8
52.532021,-117.645432,1396.8
52.532021,-117.645432,1396.8
52.532014,-117.645444,1396.8
52.532021,-117.645462,1396.7
52.532024,-117.645471,1396.7
52.532035,-117.64549,1396.6
52.53202,-117.645504,1396.5
52.532016,-117.645511,1396.5
